Stimuli,he,she
"The man rolled a beach ball to the woman and, as a result,",0.8707262277603149,0.12927375733852386
"The woman rolled a beach ball to the man and, as a result,",0.6976913809776306,0.3023086190223694
"The man handed a gift to the woman and, as a result,",0.49656039476394653,0.5034396052360535
"The woman handed a gift to the man and, as a result,",0.7188876271247864,0.28111234307289124
"The woman carried a banana to the man and, as a result,",0.5255336165428162,0.47446638345718384
"The man carried a banana to the woman and, as a result,",0.8603622913360596,0.13963772356510162
"The man threw a Frisbee to the woman and, as a result,",0.7602630853652954,0.23973695933818817
"The woman threw a Frisbee to the man and, as a result,",0.8078091144561768,0.19219087064266205
"The man mailed a letter to the woman and, as a result,",0.3508882522583008,0.649111807346344
"The man gave a book to the woman and, as a result,",0.32906046509742737,0.6709395051002502
"The woman gave a book to the man and, as a result,",0.8190885186195374,0.18091146647930145
"The man brought flowers to the woman and, as a result,",0.5250665545463562,0.4749334454536438
"The woman brought flowers to the man and, as a result,",0.7348846197128296,0.2651154100894928
"The woman kicked a soccer ball to the man and, as a result,",0.7830624580383301,0.2169376015663147
"The man kicked a soccer ball to the woman and, as a result,",0.8781331777572632,0.12186678498983383
"The woman mailed a letter to the man and, as a result,",0.532360315322876,0.467639684677124
